dominion,post,view,mean view,like,mean like,comment,mean comment,nations
pearl,1685,1552387,921.2979228,38864,23.06468843,10710,6.356083086,3355
vivailcinema,667,1176582,1763.991004,27743,41.59370315,6938,10.4017991,1715
orbit,2075,1211841,584.019759,25046,12.07036145,15520,7.479518072,3261
swab85,1477,774045,524.0656737,12179,8.24576845,8733,5.912660799,1940
woojae,788,939706,1192.520305,27498,34.89593909,6603,8.379441624,1801
offcafe,746,842789,1129.743968,21088,28.26809651,6031,8.084450402,1942
kwak,362,762790,2107.154696,16269,44.94198895,3943,10.89226519,1376
109ace,1417,652382,460.3966126,13228,9.335215243,6759,4.769936486,1755
dangun,813,606288,745.7416974,14355,17.65682657,4380,5.387453875,1529
min,798,941188,1179.433584,27582,34.56390977,6762,8.473684211,1727
can,1028,443965,431.8725681,14918,14.51167315,5295,5.15077821,1621
pani,268,392664,1465.164179,8977,33.49626866,3261,12.16791045,985
chicken,571,535116,937.1558669,13922,24.38178634,4630,8.108581436,1378
yagubu,581,692631,1192.135972,18525,31.88468158,5123,8.817555938,1201
qm,325,261561,804.8030769,6195,19.06153846,2240,6.892307692,629
imsemo,321,347556,1082.728972,9885,30.79439252,2446,7.619937695,727
